slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__17498-09_HP_IM3_15_[21760.9,16990.6].npy",32.0,94.0,73.0,71.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,7.0,2.0,0.0,2898.539042821159
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 52013_HP_IM3_10_[28152.1,17265.3].npy",21.0,69.0,83.0,89.0,2.0,4.0,7.0,2.0,7.0,11.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,13.0,24.0,10.0,26.0,0.19047619047619047,3243.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__40362-12_HP_IM3_0_[18641,13011].npy",12.0,50.0,40.0,31.0,0.0,1.0,6.0,3.0,0.0,6.0,2.0,14.0,3.0,6.0,3.0,7.0,0.0,3.0,13.0,6.0,0.0,0.0,5.0,6.0,0.9166666666666666,2643.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6431-10_HP_IM3_1_[16220.1,12851].npy",31.0,68.0,50.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2039.0521143679762
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__9614-13_HP_IM3_1_[13842,17737].npy",14.0,35.0,38.0,25.0,1.0,4.0,3.0,6.0,5.0,22.0,7.0,11.0,6.0,21.0,14.0,20.0,0.0,0.0,0.0,0.0,46.0,106.0,88.0,84.0,0.7857142857142857,4413.360646038386
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__40362-12_HP_IM3_0_[18641,13011].npy",18.0,30.0,30.0,40.0,1.0,3.0,1.0,2.0,0.0,2.0,10.0,2.0,2.0,2.0,6.0,6.0,4.0,7.0,9.0,10.0,0.0,6.0,7.0,13.0,0.8888888888888888,2643.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5213-12_HP_IM3_2_[12852,10296].npy",29.0,75.0,71.0,66.0,2.0,3.0,3.0,6.0,1.0,6.0,8.0,12.0,0.0,3.0,4.0,5.0,0.0,3.0,0.0,3.0,2.0,4.0,13.0,10.0,0.9655172413793104,3381.5115617112133
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__18231-12_HP_IM3_0_[16550,6375].npy",13.0,65.0,71.0,51.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,0.07692307692307693,2656.302979892187
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_2_[15627,14671].npy",44.0,90.0,80.0,70.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,47.0,48.0,0.0,3495.999767838117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20671-11_HP_IM3_9_[12064.1,15956].npy",12.0,36.0,31.0,33.0,2.0,4.0,6.0,6.0,2.0,6.0,6.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,15.0,41.0,45.0,42.0,0.8333333333333334,2541.5945334086805
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37097-12_HP_IM3_1_[9117,16826].npy",32.0,32.0,33.0,47.0,0.0,8.0,1.0,7.0,3.0,19.0,21.0,23.0,6.0,49.0,30.0,35.0,0.0,9.0,11.0,12.0,33.0,74.0,76.0,69.0,0.0,4123.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34149-12_HP_IM3_2_[26585,12083].npy",28.0,46.0,61.0,69.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,13.0,4.0,11.0,0.0,3125.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__39552-12_HP_IM3_0_[15316,10191].npy",24.0,46.0,68.0,73.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,2.0,5.0,0.5,2859.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25425_HP_IM3_7_[36464.1,16748].npy",19.0,35.0,40.0,42.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,4.0,4.0,1.0,0.3157894736842105,1445.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__9614-13_HP_IM3_2_[13431,12567].npy",29.0,68.0,51.0,42.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,4.0,14.0,49.0,41.0,36.0,0.0,3299.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34149-12_HP_IM3_2_[26585,12083].npy",23.0,47.0,55.0,60.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,4.0,1.0,7.0,5.0,5.0,0.0,0.0,1.0,0.0,9.0,34.0,29.0,43.0,0.0,3125.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__40002-12_HP_IM3_2_[8266,16837].npy",10.0,14.0,10.0,19.0,4.0,11.0,17.0,8.0,6.0,26.0,42.0,41.0,6.0,16.0,15.0,26.0,0.0,0.0,1.0,4.0,23.0,50.0,65.0,53.0,0.3,3233.4703098493396
